date,county code,number of cold case,county name
2015-03-24,11110,1312,Jongno
2015-03-25,11110,1225,Jongno
2015-03-26,11110,1247,Jongno
2015-03-27,11110,1346,Jongno
2015-03-28,11110,1158,Jongno
2015-03-29,11110,172,Jongno
2015-03-30,11110,1807,Jongno
2015-03-31,11110,1201,Jongno
2015-04-01,11110,1153,Jongno
2015-04-02,11110,1085,Jongno
2015-04-03,11110,1248,Jongno
2015-04-04,11110,976,Jongno
2015-04-05,11110,123,Jongno
2015-04-06,11110,1603,Jongno
2015-04-07,11110,1142,Jongno
2015-04-08,11110,1109,Jongno
2015-04-09,11110,1059,Jongno
2015-04-10,11110,1218,Jongno
2015-04-11,11110,1022,Jongno
2015-04-12,11110,123,Jongno
2015-04-13,11110,1665,Jongno
2015-04-14,11110,964,Jongno
2015-04-15,11110,1140,Jongno
2015-04-16,11110,1082,Jongno
2015-04-17,11110,1152,Jongno
2015-04-18,11110,961,Jongno
2015-04-19,11110,125,Jongno
2015-04-20,11110,1655,Jongno
2015-04-21,11110,999,Jongno
2015-04-22,11110,1067,Jongno
2015-04-23,11110,1105,Jongno
2015-04-24,11110,1269,Jongno
2015-04-25,11110,946,Jongno
2015-04-26,11110,112,Jongno
2015-04-27,11110,1644,Jongno
2015-04-28,11110,1074,Jongno
2015-04-29,11110,1008,Jongno
2015-04-30,11110,1005,Jongno
2015-05-01,11110,867,Jongno
2015-05-02,11110,747,Jongno
2015-05-03,11110,122,Jongno
2015-05-04,11110,1409,Jongno
2015-05-05,11110,135,Jongno
2015-05-06,11110,1396,Jongno
2015-05-07,11110,976,Jongno
2015-05-08,11110,982,Jongno
2015-05-09,11110,837,Jongno
2015-05-10,11110,112,Jongno
2015-05-11,11110,1413,Jongno
2015-05-12,11110,892,Jongno
2015-05-13,11110,893,Jongno
2015-05-14,11110,813,Jongno
2015-05-15,11110,861,Jongno
2015-05-16,11110,712,Jongno
2015-05-17,11110,115,Jongno
2015-05-18,11110,1400,Jongno
2015-05-19,11110,846,Jongno
2015-05-20,11110,863,Jongno
2015-05-21,11110,862,Jongno
2015-05-22,11110,1045,Jongno
2015-05-23,11110,814,Jongno
2015-05-24,11110,114,Jongno
2015-05-25,11110,219,Jongno
2015-05-26,11110,1323,Jongno
2015-05-27,11110,878,Jongno
2015-05-28,11110,852,Jongno
2015-05-29,11110,941,Jongno
2015-05-30,11110,772,Jongno
2015-05-31,11110,94,Jongno
2015-06-01,11110,1224,Jongno
2015-06-02,11110,862,Jongno
2015-06-03,11110,895,Jongno
2015-06-04,11110,916,Jongno
2015-06-05,11110,1081,Jongno
2015-06-06,11110,242,Jongno
2015-06-07,11110,112,Jongno
2015-06-08,11110,1302,Jongno
2015-06-09,11110,713,Jongno
2015-06-10,11110,705,Jongno
2015-06-11,11110,701,Jongno
2015-06-12,11110,707,Jongno
2015-06-13,11110,524,Jongno
2015-06-14,11110,68,Jongno
2015-06-15,11110,829,Jongno
2015-06-16,11110,576,Jongno
2015-06-17,11110,545,Jongno
2015-06-18,11110,580,Jongno
2015-06-19,11110,595,Jongno
2015-06-20,11110,393,Jongno
2015-06-21,11110,76,Jongno
2015-06-22,11110,750,Jongno
2015-06-23,11110,507,Jongno
2015-06-24,11110,446,Jongno
2015-06-25,11110,460,Jongno
2015-06-26,11110,509,Jongno
2015-06-27,11110,339,Jongno
2015-06-28,11110,54,Jongno
2015-06-29,11110,585,Jongno
2015-06-30,11110,407,Jongno
2015-07-01,11110,409,Jongno
2015-07-02,11110,440,Jongno
2015-07-03,11110,424,Jongno
2015-07-04,11110,359,Jongno
2015-07-05,11110,53,Jongno
2015-07-06,11110,609,Jongno
2015-07-07,11110,431,Jongno
2015-07-08,11110,421,Jongno
2015-07-09,11110,408,Jongno
2015-07-10,11110,435,Jongno
2015-07-11,11110,330,Jongno
2015-07-12,11110,48,Jongno
2015-07-13,11110,526,Jongno
2015-07-14,11110,382,Jongno
2015-07-15,11110,406,Jongno
2015-07-16,11110,411,Jongno
2015-07-17,11110,528,Jongno
2015-07-18,11110,412,Jongno
2015-07-19,11110,59,Jongno
2015-07-20,11110,673,Jongno
2015-07-21,11110,468,Jongno
2015-07-22,11110,439,Jongno
2015-07-23,11110,417,Jongno
2015-07-24,11110,436,Jongno
2015-07-25,11110,398,Jongno
2015-07-26,11110,50,Jongno
2015-07-27,11110,625,Jongno
2015-07-28,11110,451,Jongno
2015-07-29,11110,456,Jongno
2015-07-30,11110,446,Jongno
2015-07-31,11110,477,Jongno
2015-08-01,11110,396,Jongno
2015-08-02,11110,72,Jongno
2015-08-03,11110,688,Jongno
2015-08-04,11110,457,Jongno
2015-08-05,11110,508,Jongno
2015-08-06,11110,484,Jongno
2015-08-07,11110,497,Jongno
2015-08-08,11110,420,Jongno
2015-08-09,11110,70,Jongno
2015-08-10,11110,744,Jongno
2015-08-11,11110,554,Jongno
2015-08-12,11110,519,Jongno
2015-08-13,11110,534,Jongno
